Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression12();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression13();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression14();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression15();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder7();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder8();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;23;1;7;0;10;0.7142857142857143;0;3;0.5
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,27,28,29,30,31,32,34;28;0;0;27;27;0.6585365853658537;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,27,28,29,30,31,32,34;25;0;0;1;24;0.5853658536585366;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34;25;0;0;6;24;0.5853658536585366;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,7,8,9,15,16,17,18,19,20,21,22,27,28,29,30,31,32,34;24;0;0;1;23;0.5609756097560976;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,27,28,29,30,31,32,34;23;0;0;1;22;0.5365853658536586;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34;20;0;0;1;19;0.4634146341463415;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,7,8,9,15,16,17,27,28,29,30,31,32,34;19;0;0;0;18;0.43902439024390244;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,17,18,19,20,21,22,27,28,29,30,31,32,34;16;0;0;0;15;0.36585365853658536;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,4,5,6,15,16,17,27,28,29,30,31,32,34;16;0;0;0;15;0.36585365853658536;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,17,18,19,27,28,29,30,31,32,34;13;0;0;0;12;0.2926829268292683;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationWords();33,2,3,17,27,28,29,30,31,32,34;11;0;0;0;10;0.24390243902439024;1;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationPluralWords();33,2,3,17,27,28,29,30,31,32,34;11;0;0;0;10;0.24390243902439024;0;1;0.022222222222222223
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriodISO();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,28,32,35,61,64,67,70,73,75;28;0;0;27;27;0.29347826086956524;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,62,63,64,65,66,67,68,69,70,71,72,73,75;42;0;0;22;41;0.44565217391304346;1;1;0.0014903129657228018
