Id;EdgeCoverage;PrimePathCoverage
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();1;1
joptsimple.util.DateConverterTest.rejectsNullDateFormatter();1;1
joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();1;1
joptsimple.JVMSystemPropertiesArgumentParsingTest.parsingJVMSystemPropertiesArguments();1;1
joptsimple.HandlingDefaultValuesForOptionArgumentsTest.optionalArgOptionWithDefaultGivesDefaultIfArgNotSpecifiedOnCommandLine();0.8333333333333333;0.3333333333333333
