Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
Public Constructor;org.apache.commons.cli.AlreadySelectedException.AlreadySelectedException(OptionGroup,Option);3;7;1;4;6;1;0;4;1;3;1;1;1;1;0;0;0;0
Public Constructor;org.apache.commons.cli.AlreadySelectedException.AlreadySelectedException(String);2;4;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.AlreadySelectedException.getOption();3;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.AlreadySelectedException.getOptionGroup();3;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.AmbiguousOptionException;;33;8;16;;;;21;8;13;;;;;;;2;
Public Constructor;org.apache.commons.cli.AmbiguousOptionException.AmbiguousOptionException(String,Collection<String>);5;5;1;2;4;1;0;3;1;2;1;1;1;1;0;0;0;0
Private Static Method;org.apache.commons.cli.AmbiguousOptionException.createMessage(String,Collection<String>);3;19;3;12;6;3;0;13;3;10;3;3;3;1;0;0;2;0
Public Method;org.apache.commons.cli.AmbiguousOptionException.getMatchingOptions();5;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.ApplicationTest;;250;50;229;;;;93;36;57;;;;;;;0;
Public Method;org.apache.commons.cli.ApplicationTest.testAnt();0;30;7;28;12;1;0;24;6;18;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ApplicationTest.testGroovy();0;63;4;61;13;1;0;17;4;13;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ApplicationTest.testLs();0;19;5;17;13;1;0;14;5;9;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ApplicationTest.testMan();2;77;8;73;5;1;0;8;6;2;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ApplicationTest.testNLT();0;53;20;50;13;1;0;29;14;15;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.ArgumentIsOptionTest;;50;20;28;;;;26;13;13;;;;;;;0;
Public Method;org.apache.commons.cli.ArgumentIsOptionTest.setUp();0;5;1;2;3;1;0;3;1;2;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ArgumentIsOptionTest.testOption();3;10;4;6;5;1;0;6;3;3;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ArgumentIsOptionTest.testOptionAndOptionWithArgument();3;13;4;9;6;1;0;7;3;4;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.ArgumentIsOptionTest.testOptionWithArgument();3;13;4;9;7;1;0;7;3;4;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.BasicParser;;10;5;1;;;;3;2;1;;;;;;;0;
Protected Method;org.apache.commons.cli.BasicParser.flatten(Options,String[],boolean);1;6;3;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.BasicParserTest;;105;51;2;;;;28;26;2;;;;;;;0;
Public Method;org.apache.commons.cli.BasicParserTest.setUp();0;5;1;2;2;1;0;3;1;2;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testAmbiguousLongWithoutEqualSingleDash();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testAmbiguousPartialLongOption1();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testAmbiguousPartialLongOption2();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testAmbiguousPartialLongOption3();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testAmbiguousPartialLongOption4();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testBursting();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testDoubleDash2();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testLongWithEqualDoubleDash();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testLongWithEqualSingleDash();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testLongWithoutEqualSingleDash();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testMissingArgWithBursting();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testNegativeOption();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testPartialLongOptionSingleDash();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testPropertiesOption1();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testPropertiesOption2();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testShortWithEqual();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testShortWithoutEqual();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testStopBursting();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testStopBursting2();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption1();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption2();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption3();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption4();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.BasicParserTest.testUnrecognizedOptionWithBursting();0;3;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.CommandLine;;211;48;78;;;;113;51;62;;;;;;;3;
